essay,topic,para_count,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,modal verb,most_freq,number_of_repeatation,max_occurance_of_most_frequent_phrase,avg sentence complexity,lexical diversity,sentence similarity mean,sentence similarity median,sentence similarity mode,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,Automated Readability,coleman_liau,cohesion score,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment,discourse_marker,label
"Recently, a great deal of attention has been paid to means of transportation. Some state that automobile is the most convenient transportation, while others assert that alternative forms of transport should be considered in view of environmental pollution. In my opinion, I strongly agree that alternative means of transportation and international laws in controlling automobiles should be introduced. In this essay, several reasons will be described carefully in the following passages.

Firstly, an increase in the number of automobiles brings about environmental pollution. Since automobile exhaust and carbon dioxides emission have bad impacts on the air, the air gets to be polluted and it causes respiratory disease of the local inhabitants. Therefore, it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles.

Secondly, an increase in the number of automobiles causes terrible traffic congestion. Once we get into the traffic jam, it forces us to waste our time for a while. What is worse, traffic congestion irritates drivers and as a result, it leads to an increase of traffic accidents. Thus, the methods to reduce the number of automobiles and to control car ownership and use should be immediately planned and implemented.

In order to solve these problems, alternative forms of transportation and international laws to control automobiles ownership and use can work effectively. With regard to the former, alternative forms which emit less carbon dioxides and gasses than automobiles are ideal. For example, rental bicycle system has been introduced in several European countries. This system is that at the corner of each district, the rental bicycles are placed and the people can ride it to the other districts with a small fee. Since bicycle expels neither carbon dioxides nor harmful gasses, it is a better form to protect environment than automobile. As for the latter point, the introduction of international laws can be also effective. For instance, there are some regulations to limit the use of automobiles by time and to allow the people possess one car only. Thus, these attempts to reduce automobiles can ease traffic congestion and environmental pollution.

In summary, even though some people claim the convenience of automobile, I would state that alternative forms of transport and international laws on controlling automobiles are necessary due to the environmental protection and the alleviation of traffic congestion.",Alternative forms of transport to alleviate traffic congestion,5.0,388.0,20.0,19.4,13.0,38.0,12.0,193.0,9.65,199.0,0.306701030927835,0.1288659793814432,0.0979381443298969,0.0309278350515463,9.0,11.0,5.0,2.0,5.4,0.4441860465116279,0.8356642395257949,0.880774736404419,0.7991296648979187,380.0,150.25468225026307,3.0,-0.333770951143027,149.92091129912004,12.0,13.9,13.69,4.182405323743424,0.4441860465116279,0.1,0.066,0.834,49.0,0.0
"Gun is definitely not a kind of normal good in our society, which is strictly controlled in most countries. However, gun control in some countries is relatively loose than others. Therefore, this is still a controversial topic around the world. From my point of view, it is sensible to enforce the gun control.

The first factor considered is the risk of accidents with guns. The accidents cannot be completely avoided although only those who have gun licenses can purchase guns. For example, we hear some news from time to time that someone was hurt by accident during the hunting. So the fewer guns possessed, the fewer accidents would happened, our surroundings would be safer with lower accident rates.

Secondly, most violent crimes are related to the abuse of guns, especially in some countries where guns are available for people. Eventually, guns will create a violent society if the trend continues. Take an example, in American, young adults and even juveniles can get access to guns, which leads to the tragedies of school gun shooting. What is worse, some terrorists are able to possess more advanced weapons than the police, which makes citizens always live in danger.

Thirdly, the possession of guns can also raise the rates of suicide. In the US, firearms remain the most common method of suicide, accounting for about 50 per cent. Unfortunately, there is an increasing trend of adolescent suicides and suicides among those age 75 and over.

In conclusion, considering the rise in accident rates, violent crime rates and suicide rates, I support that the guns should be strictly limited and the government should enforce a series of laws to prevent our societies from violence.",Gun control,5.0,280.0,16.0,17.5,19.0,38.0,10.0,143.0,8.9375,178.0,0.2964285714285714,0.1214285714285714,0.0821428571428571,0.025,9.0,9.0,0.0,1.0,5.188,0.5329153605015674,0.8491182327270508,0.905017614364624,0.8822631239891052,276.0,108.48430959776162,0.0,0.0,108.48430959776162,8.9,11.1,10.84,4.028762966672268,0.5329153605015674,0.053,0.282,0.664,32.0,0.0
"The increasing population and the technological advancements demand more energy than in the past. It is believed that there are various other resources such as the nuclear and solar which are abundant and eco-friendly. I will analyze these areas in the essay.

Firstly, the major source of energy today is water. Although there is a lot of water shortage to generate electricity many countries still rely only on this source. To generate such a vast energy the fundamental resources are falling short. Thus, during summer there will be a lot of power cut in the developing countries such as India. If the government encourage the use of nuclear, solar or wind energy there might not be any problem in distributing the required amount electricity. Therefore, it would be a good implication by the government to generate electricity from other available sources.

Secondly, the sources most widely used currently to generate power releases extensive amount of gases into the atmosphere which increases global warming. For example, the use of a solar cooker instead of an electric cooker would certainly reduce the global warming. In the same way, the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution.

To conclude, it would be a better implication by the government to promote other sources of energy. This can make use of the available natural resources which in turn would reduce the global warming. Further, government should motivate and encourage the people to use alternative sources such as the solar and the nuclear energy",Government should make more effort to promote alternative sources of energy,4.0,256.0,15.0,17.066666666666666,20.0,24.0,8.0,135.0,9.0,138.0,0.26171875,0.1328125,0.1484375,0.0234375,9.0,8.0,1.0,2.0,5.667,0.4802867383512544,0.8445010383923849,0.9127598404884338,0.8170238137245178,254.0,107.81212806337489,0.0,0.0,107.81212806337489,11.1,11.5,11.83,3.702328925563663,0.4802867383512544,0.173,0.026,0.801,28.0,0.0
"Technology, in the past two hundred years, has taken a dramatic progress in many fields of our society, such as telecommunications, manufacturing and buildings, etc. Certainly, technologies have also contributed to the great change of our daily lives. However, today some people consider that the range of technology regarding of public has a negative effect on increasing the gap between rich and poor. Personally, I find it hard for me to agree with this opinion by the following reasons.

In the first instance, the progress of material technology leads to the sharp fall of price of a great number of products. About ten years ago, mobile phones ware very expensive for most members of my country, only a few of rich individuals have enough money to buy one. Today, mobile phones become a common one of household items, which due to the cheaper materials and better producing technologies. Thus, most members of our society can benefit from the consequences of technical advancements, especially the poor people.

Secondly, technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life. With the development of Internet, we can enjoy the pleasure and conveniences which it brings about for us every day. In the past time, we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us. Nowadays, we can talk with our friends online, no matter where we are and how far between us. In addition, the Internet gives everyone access to the same information, this therefore leads to greater equality between individuals.

Undoubtedly, everything has two sides and technology is not an exception. To some extent, the gap between rich people and poor is widen by technology, because only the rich people have ability to afford the expensive high-tech products, and these products can help them to earn more in return.

Nevertheless, I think it is a limp opposition to the remarkable advantages of technology, and technology is not the root cause of the gap.

In conclusion, the good technology bringing to us is undeniable. Under proper use of technology, the human being can be benefit a lot and perpetually from the advancement of it.",technology that widen the gap between rich and poor?,6.0,380.0,18.0,21.11111111111111,27.0,38.0,10.0,202.0,11.22222222222222,223.0,0.2578947368421053,0.1052631578947368,0.1105263157894736,0.05,5.0,8.0,0.0,1.0,5.778,0.4860465116279069,0.8641105393568674,0.9208344221115112,0.860588550567627,375.0,160.34295451329498,0.0,0.0,160.34295451329498,11.5,12.8,11.08,4.393480479758787,0.4860465116279069,0.198,0.038,0.764,47.0,0.0
"For most folks on Earth, the need to gather in one place, and enjoy competition with other talented people from different cultures through popular games has always been a strong motivation. This trend is so deeply engraved in people's mind that the organisation of such events continue to be planned, even when some participants are facing grievous social problems. It is agreed that large scale sports games make people focus on attractive contests instead of international disputes, and help them being proud of their nation. This will be proved by analysing how sports events may be an important link to the peace, and by how they encourage people to display their national symbols.

Firstly, during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event. For example, when Irak was hardly struck by the Second Gulf War, its citizens tried to catch any incoming news about the FootballWorld Cup through their portable receivers. This clearly shows that international sports competitions encourage people and put pressure on them to come back, sooner or later, to a relative peaceful normality. Thus, world sports events strongly participate in eventually pulling back people towards friendship and peace.

Secondly, these sporting occasions are a good opportunity for people to be proud of their country. For instance, when the Football World Cup was organised in South Africa, its citizens filled up the stadiums, cheered and waved national flags to support their national team on the field. South African national and traditional songs were played in the streets throughout the night. This example demonstrates how people might take numerous elements from their roots and history to proudly display them while supporting their team. As a result, it is clear that people can freely express their patriotic feelings during international sports events.

In conclusion, after analysing the effects of world games both for countries at war and for organising countries, it is clear that they not only constitute a tremendous appeal towards a peaceful society, but also guide the public demonstrations of national proudness. This has been true for centuries and will certainly not change in the foreseeable future.",Sporting events easing international tensions,4.0,372.0,15.0,24.8,28.0,42.0,14.0,177.0,11.8,227.0,0.2446236559139785,0.1317204301075268,0.1129032258064516,0.021505376344086,6.0,10.0,0.0,1.0,5.867,0.5441176470588235,0.864177139600118,0.9355441927909852,0.8446441292762756,363.0,146.91848805036133,4.0,-0.4452559620070673,146.47323208835425,11.8,15.9,13.18,4.533942464095222,0.5441176470588235,0.16,0.053,0.786,55.0,0.0
"Despite the development of modern society, the health care and education still remain the basic rights of citizens. And a much debated issue these days is whether or not the government should be responsible for citizens' health care and education.

Some people argue that it is the government that should be obligated to fund the health care and education for citizens. This is because citizens enjoy the right to live in a harmonious and stable environment, which should be enabled by the government, the leader of the society. If citizens had no access to health care and education, their physical health and psychological soundness would be at risk. As a result, such people might fail to get cured in time, thus influencing their working efficiency, which would destabilize the production of the industry. Also, without sufficient guidance of teachers, these citizens might misbehave or even commit crimes, posing a threat to other citizens' security. Therefore, the government should be accountable for citizens' health care and education to keep society safe and stable.

On the other hand, some people oppose the argument, saying it is a waste of public money for the government to subsidize health care and education of each citizen in society, since a great number of people, in fact, have had the capacity to pay for the both privately. Instead, the government should give priority to more pressing problems related to social members' wellbeing, such as soaring crime rate, AIDS epidemic or the shortage of infrastructure, which are requiring financial resources from the government to address.

Personally, I think the government should fund the deprived for their health care and education, who are the group in real need for the authority's help. At the same time, citizens available for the both should encourage the government to allocate money to more urgent areas. After all, the harmonious society calls for the joint efforts of the government and citizens.",Government should be responsible for education and health care or not?,4.0,319.0,13.0,24.53846153846154,18.0,49.0,15.0,167.0,12.846153846153848,171.0,0.3040752351097178,0.1379310344827586,0.0815047021943573,0.012539184952978,11.0,10.0,3.0,2.0,7.154,0.4598337950138504,0.857631674179664,0.932552695274353,0.8881921172142029,316.0,132.9414747788608,0.0,0.0,132.9414747788608,12.8,15.2,12.31,4.0014191964565615,0.4598337950138504,0.173,0.093,0.734,47.0,0.0
"Never in history was advertising industry so developed as in modern society and it has led to some adverse sentiments in public because some deliver exaggerated and fake information. Hence whether we should ban all the advertisements or not has aroused much controversy of the public. My view is that while some of them are disturbing, we can not overlook other merits the advertisements bring.

First, it is unfair to restrict those public service advertisements which are creative and inspiring. In fact, they are not in the purpose of making profits but taking a role of disseminating valued culture, good moral traits and calling for helps for the disabled and the poor.

Besides, it is obvious that publicizing brand image or a particular product of mass media could boost sales for companies. In a larger sense, it could simulate household spending and therefore promote the economic development of the whole country. A recent study shows that after launching an advertising campaign, the sales revenue would increase by 40%, which is the very fact to verify its positive influences on economic.

That is not to say, however, that advertisements have no downsides. Of course, the advertising expenses lead to a higher product price and some of them express fake information, creating information asymmetry between consumers and companies. Yet, its merits still outweigh these downsides.

Taken all together, advertisements have its social responsibility and contribute to economic growth. We can not deny all of them. However, if those with exaggerated and fake information could be banned, advertisements would be welcomed by more.",should all the advertisements be banned?,5.0,260.0,14.0,18.571428571428573,29.0,32.0,7.0,143.0,10.214285714285714,166.0,0.2307692307692307,0.15,0.1192307692307692,0.0423076923076923,8.0,6.0,0.0,1.0,5.6,0.5601374570446735,0.8335351506868999,0.9091651439666748,0.7962799668312073,255.0,103.74160506044736,0.0,0.0,103.74160506044736,11.7,12.8,12.71,4.2992031487771145,0.5601374570446735,0.141,0.125,0.733,39.0,0.0
"Currently, a great number of countries have pushed forward their economies by developing national industries. However, some people are worried that the economic targets in industrialized countries may be attained at the expense of the ecosystems. From my perspective, I think flourishing economies can go hand in hand with environmental preservation.

Admittedly, some countries may place economic developments ahead of environmental protection, thus ruining the local environments. As these needy countries lack adequate financial and human resources, advanced technologies and experience, they have to rely on natural resources to maintain their living standards. Besides, people in the poverty-stricken areas are not likely to be equipped with knowledge to preserve the ecosystems. As a result, unchecked and reckless uses of the local raw materials may happen, which can put a strain on the natural resources. In this view, the economic development and environmental protection can be conflicting.

However, I believe the booming economy can be closely linked to the preservation of the environment. With people raising their awareness of the green economy, the products free of pollutants are increasingly prevalent among clients, which means eco-friendly businesses can make a favourable impression on customers today, triggering sales. For example, electronic bicycles powered by clean energy resources have been well received among people in recent years.

Furthermore, taking environmental consequences seriously can enhance working efficiencies. If a firm is environmentally conscious, it may have to make optimal use of its resources to improve its production lines and equipment, which can boost productivity. Therefore, it may spur its economic development. On the other hand, without the requirement of environmental preservation, the firm would still consume a vast amount of energy which constitutes a large part of its operational costs, being a hurdle to the economic develpment.

Therefore, I would conclude that thriving economies and the preservation of ecosystems can be promoted simultaneously. On the other hand, I suppose the developed countries should support the underdeveloped areas by providing financial resources, technologies and experience so that the environmental problems can be effectively alleviated in these areas.",economic development vs environment,5.0,341.0,17.0,20.058823529411764,16.0,36.0,7.0,162.0,9.529411764705882,201.0,0.2609970674486803,0.1700879765395894,0.1407624633431085,0.0205278592375366,17.0,6.0,0.0,1.0,4.824,0.5,0.8564747852437636,0.9123656749725342,0.8243947625160217,338.0,136.10529196394288,0.0,0.0,136.10529196394288,13.5,16.3,16.13,4.399432483068324,0.5,0.16,0.053,0.787,38.0,0.0
"Over the last half century the change in the life of human begings has increased beyond our wildest expectations. There are countless new technological equipments flooding into our lives, such as the Internet, television and cell phone. They all enrich our daily lives.Now, many students learn from Internet after class and they find it quite helpful.

Many people find that students at schools and universities still learn much more from lessons with teachers. They argue that teachers teach students how to write, read and calculate since they are in kindergarten.And when they are in primary school, teachers teach them more further knowledge, like writing skills and using computers.It is teachers that help them with obstacles in schooling. On the other hand, students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers.

Those who feel that students learn far more from other sources, such as the Internet and television, frimly believe that within this sources students learn lots of things which they can't learn in classes. They can only input some key words and google it, and then there are numberless articles and websites related to it. In this case, stundents learn things easily. Moreover, they contend that good television programmes do teach students.For instance, Discovery Channel has many instructive episodes. Students have knowledge of others cultrues, outer space etc.

Personally, I think that students learn far more from their teachers than from other source. Because not only do teachers teach us knowlegde but also the skills to tell right from wrong. Just imagine: if a student can't even make out whether the source is reasonable or not , then how can he get the right information to help him to learn?",Email and text messaging threats written language,4.0,291.0,14.0,20.785714285714285,17.0,44.0,7.0,161.0,11.5,183.0,0.2542955326460481,0.134020618556701,0.1099656357388316,0.0756013745704467,4.0,9.0,2.0,2.0,4.944,0.5479876160990712,0.8454512688848708,0.9301484823226928,0.8011835217475891,284.0,127.23650150921392,0.0,0.0,127.23650150921392,7.2,11.0,11.66,3.901247867335949,0.5479876160990712,0.066,0.032,0.902,49.0,0.0
"The modern times have witnessed profound changes in most aspects of life, including the revolution of feminism. Women have been opened up to more chances than ever. This, contrary to some ideas, is a positive progress in human society from my point of view.

To start with, the fairness between males and females is inevitable in such a developed society. Gone are the days when women could do nothing rather than stick to boring house work and take care of children. Women nowadays are much more active, they may be successful businessmen, they join the political world, they become scientists and so on. This is to say, the ""weaker"" gender as often be thought has enough right as well as ability to contribute to the development of human beings just like any other men, not to mention they even perform better in some fields.

In the second place, the revolution in females' right has brought about many benefits not only to themselves but society as well. The financial burden of families, for instance, has decreased significantly with both the wives and the husbands working to earn money. What is more, women have the outstanding instinct to take up some careers lie healthcare or human resource management due to their patience and elaboration.

Admittedly, such changes do lead to some negative results like an upward trend in divorce rate or, under many circumstances, women find it difficult to balance their work and their traditional role as the wives. Also, children might enjoy less care from parents as they arre both busy with theit work. Yet everything has it upside and downside, women should find the best way to overcome such challenges.

All things considered, in a society where females are given equal opportunities compared with males
would obviously enjoy lots of benefits far outweighing its obstacles.",Nowadays there are more opportunities for women than there were in the past,5.0,305.0,14.0,21.785714285714285,17.0,41.0,10.0,163.0,11.642857142857142,201.0,0.2557377049180327,0.1278688524590163,0.1180327868852459,0.0360655737704918,5.0,4.0,0.0,1.0,5.643,0.5747800586510264,0.848361292055675,0.9215298891067504,0.8333030343055725,296.0,127.78002595009042,3.0,-0.190531218692069,127.58949473139836,10.6,12.9,10.97,4.58141621258854,0.5747800586510264,0.172,0.056,0.773,45.0,0.0
