essay,label,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,most_freq,total_rp,max_rp_count,avg sentence complexity,grammar&spel,lexical diversity,sentence similarity mean,sentence similarity median,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,automated readability,coleman liau,Cohesion score:,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment
"Over the last half century the change in the life of human begings has increased beyond our wildest expectations. There are countless new technological equipments flooding into our lives, such as the Internet, television and cell phone. They all enrich our daily lives.Now, many students learn from Internet after class and they find it quite helpful. Many people find that students at schools and universities still learn much more from lessons with teachers. They argue that teachers teach students how to write, read and calculate since they are in kindergarten.And when they are in primary school, teachers teach them more further knowledge, like writing skills and using computers.It is teachers that help them with obstacles in schooling. On the other hand, students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers. Those who feel that students learn far more from other sources, such as the Internet and television, frimly believe that within this sources students learn lots of things which they can't learn in classes. They can only input some key words and google it, and then there are numberless articles and websites related to it. In this case, stundents learn things easily. Moreover, they contend that good television programmes do teach students.For instance, Discovery Channel has many instructive episodes. Students have knowledge of others cultrues, outer space etc. Personally, I think that students learn far more from their teachers than from other source. Because not only do teachers teach us knowlegde but also the skills to tell right from wrong. Just imagine: if a student can't even make out whether the source is reasonable or not , then how can he get the right information to help him to learn?",0,291,14,20.785714285714285,17,44,7,161,11.5,183,0.2542955326460481,0.134020618556701,0.1099656357388316,0.0756013745704467,9.0,2,2,4.944,14.0,0.5479876160990712,0.8454512854417165,0.9301484823226929,287.0,128.46430627537006,0.0,0.0,128.46430627537006,7.2,11.0,11.66,3.9012478673359494,0.5479876160990712,0.066,0.032,0.902
"The internet has been more and more popular for recent years, providing people with a huge source of information. As a result of this, print media such as newspapers have experienced a dramatic decline in the number of readers. Some people, however, still believe that they can exist for long time; others disagree, arguing that newspapers have lost their competitive advantage to sustain their prolonged existence. Personally, I am inclined to agree with the latter view for following reasons. First of all, to obtain information, using the internet is quicker and more convenient than reading newspapers. Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime. As can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages. Hence, the print media has failed to keep its important role in the provision of information. Another point is that, from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one. It is clear to recognize that the internet service is being provided at a low cost or even free in many countries. The question arises as to whether or not a person spends an extra money buying newspapers to receive the same, even usually less information than those he can have with the internet? The answer, perhaps, is that hardly would rational people do so. For this reason, the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time. Last, but not least, when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down. This is simply the contributor to the deforestation which is happening all over the world today. At this point, newspapers' production will have to face environmentalists on its way to be alive. In conclusion, it might be unpleasant for some advocating newspapers to witness the extinction of the type of media. However, this, if occurring, should be seen as a result of the ever- increasing innovations in media technology and in our modern life as a whole.",0,403,18,22.38888888888889,16,39,11,228,12.666666666666666,243,0.2406947890818858,0.1464019851116625,0.0967741935483871,0.0173697270471464,10.0,0,1,6.556,4.0,0.5143487858719646,0.8727374838458167,0.9238582253456116,401.0,178.37093042853488,0.0,0.0,178.37093042853488,12.0,13.2,11.15,4.515500850615564,0.5143487858719646,0.055,0.047,0.898
"Why shouldn't schools do locker checks? Why do many students oppose locker checks? Random locker checks are not done to torment and/or invade the privacy of the students, but for many other important reasons which include school security. These checks are required because malicious students bring drugs and weapons to school and store them in the lockers. Random locker checks should be made obligatory and done frequently to assure the wellbeing of the students. In the first place, locker checks help increase the safety in schools. Safety is a problem in every environment and especially school. Drugs, alcohol, and firearms in lockers make a harmless place like school quite dangerous. School was known to be a secure environment for children where they could learn and have a have a fun time with friends. In the past 10 years that has all changed. The number of school shootings has increased significantly. Last year on April 16th the most deadly school shooting in U.S. history occurred. In this brutal massacre at Virginia Tech, 32 students were murdered and several more were wounded. To combat this growing epidemic, schools carry out repeated locker checks. In the second place, locker checks keep students healthy. Locker checks help students stay both physically and mentally healthy because it discourages students from bringing fire arms and especially drugs. As everyone knows, drugs induce immense physical damage and when it is overdosed drugs can lead to death. As a result, drugs completely destroy a student's life. To prevent problems like this locker checks are required. Without the use of drugs, school security will increase dramatically. If the school is safe, students will no be frightened or strained. Lastly, more students will comply with the school policies because there are frequent locker checks and other students are getting caught and punished for it. The students who are yet to be caught will learn from the mistakes of other students and will stop. To increase the effect of locker checks, they should be done with security guards and dogs. Security guards at school increase security and security dogs help find drugs with their noses. School is a place to learn, not a place to bring malicious substances, electronics and etc. So, only learning material should be brought to school. With the continued discouraging of bringing drugs and weapons, a completely secure school will become an accomplishable goal. Locker checks should be made mandatory and done frequently because they assure security in schools, makes students healthy, and will make students obey school policies in the future. Students should appreciate locker checks and other measures taken by the school to protect the school and the students. Privacy is a small price to pay for security against drugs and weapons. Like it or not, privacy will be invaded not only at school, so students have to accept it.",0,475,32,14.84375,9,28,6,224,7.0,244,0.3073684210526315,0.1789473684210526,0.0778947368421052,0.0252631578947368,17.0,1,2,4.455,3.0,0.42452830188679247,0.8574553926785787,0.8875948190689087,474.0,181.84083619289962,2.0,-0.03646915612702935,181.8043670367726,7.9,10.2,11.3,3.619281962464362,0.42452830188679247,0.203,0.141,0.656
"The legalization of marijuana would help get the economy going again. Despite great efforts by the federal government against marijuana, it has become a large part of the national economy. Imagine if we were to legalize and tax it, the government would make tons of profit and we could start paying off this $16trillion national debt. Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released. In a country with only 5% of the earth's population, the United States holds 25% of the world's prisoners (""Marijuana Prison Statistics""). A significant amount of those criminals are in there for drug related crimes. The war on drugs is a complete failure. It's done nothing but waste tax payer dollars, fill prisons with non violent criminals, and create a black market. The main reason cannabis remains illegal is because lobbyists are making tons of money off of prohibition. For example, Pharmaceutical companies lobby against cannabis because at a lower price, there are so many drugs (painkillers, sleep medication) it could replace. Another group that benefits greatly from prohibition are the drug cartels. Legalize marijuana and you cut a huge percent of their profits, army strength, and political power. Otherwise they're going to do whatever they can to save the marijuana black market. You could argue that marijuana is physically unhealthy for you and that's why it's illegal. But then you'd have to explain why alcohol and tobacco are legal because those substances are way more harmful than cannabis. 79,000 people a year die from alcohol poisoning, while zero people have died from overdosing on pot People think that prohibition has kept marijuana out of children's hands. They think legalizing this drug would expose more children and teens to it. It's a whole lot easier for kids to obtain marijuana as opposed to alcohol or tobacco. A drug dealer doesn't check for ID like a cashier would. Teens are susceptible to harsher drugs after trying marijuana because they are introduced to these hardcore drugs in the same underground market where they got the marijuana, not because it's a gateway drug. Another thing that is often said is that marijuana is addictive and can be abused, thus making it mentally unhealthy. This is an unfair statement, anything has the potential to be abused, even something as simple as food. You never hear about the positive effects marijuana can have on society. Many musicians admit that cannabis helps them get creative with their music and opens their minds to new ideas and concepts. Many cancer patients have used medical marijuana as a way of dealing with nausea after treatment or stimulating their appetite. The point is people have benefited from marijuana whether it was for medical or recreational purposes. Cannabis is classified as a schedule one drug, this suggests that it is as dangerous and addictive as heroin, meth, and even more dangerous than cocaine. Even if you believe that's accurate information, who are you to tell people what they can and can't put in their bodies? Expecting everyone to adapt to your beliefs or morals is extremely narrowed minded.",0,523,29,18.03448275862069,11,33,8,288,9.93103448275862,308,0.2581261950286806,0.147227533460803,0.0879541108986615,0.0669216061185468,14.0,0,1,5.333,8.0,0.5075885328836425,0.8589887460072835,0.8871276378631592,533.0,217.40417350456065,1.0,-0.0036000356317530246,217.4005734689289,10.3,11.4,10.96,4.580908426932002,0.5075885328836425,0.097,0.173,0.73
"Personally, I believe that married women nowadays have right to take up jobs like men when employment discrimination based on gender have been erased significantly. Working outside home will bring a lot of benefits to both married woman and their household. I will mention some basic reasons as following. Firstly, extra income that women earn will contribute to their family's expenses. By taking up a job, a wife can earn more money to support her family life. This is really necessary in cases of her husband's low salary and the difficulty of getting a good job at the present. So, it is a normal practice for women to be helpmates in earning money. Secondly, working outside the house creates opportunities for married women to contact with the outer world, strengthen their character and show their capacity. These things in turn will make them more confident, independent. These women will set a good example for their children. Therefore, it is no doubt that they play roles as a mother and as a wife better. Last but not least, nowadays, there are many supporting conditions that help women balance housework and work. Besides the gorvernment's policies on limited families and their husbands' sharing in the housework, many employers are willing to offer part-time jobs for women. In conclusion, a well-organized home does not need the housewife's presence the whole day long and married women could go to work in order to enjoy the working life outside the home.",0,246,14,17.571428571428573,16,32,8,125,8.928571428571429,162,0.2845528455284553,0.1626016260162601,0.089430894308943,0.0284552845528455,8.0,0,1,5.071,1.0,0.5667870036101083,0.8387444828237806,0.904484748840332,247.0,106.11432303376111,2.0,-0.5200455408335591,105.59427749292756,9.0,10.9,10.61,4.201139116157083,0.5667870036101083,0.138,0.034,0.828
"As is commonly understood, there is an increasingly gap between developed countries and developing countries. It can be seen that some developed countries and organization are proving financial assistance to the impoverished countries. However, it is disagreed that this can be the best and only way to assist developing countries. This will be proven by analyzing the necessity of developing their education and the real objective of supporters. Firstly, education is an essential part in development. For instance, most developing countries are lack of educational resources, such as experienced teachers, evaluation systems and teaching facilities, which is usually neglected by local authorities. From this example, it is obvious that if the developed countries are unwilling to share their successful experience in education, the developing countries will remain undeveloped, even though they gain a great deal of economic support. Thus, the critical method to improve the condition of poor countries is to help them build up a complete educational system instead of financial aid. In addition, it is well acknowledged that there is no free lunch in the world. This means some powerful countries provide financial support in order to acquire the right to exploit the local resources and target the local labour market. Indeed, they rarely provide local residents with any technological aid and even cause contamination in some areas. Therefore, developing countries should not totally depend on the financial support from powerful countries. In conclusion, financial aid is not the only way to assist poor countries. And it has been proven that developing education and improving national technology and science level are the path they have to undergo if they really want to alter current situation.",0,277,14,19.785714285714285,15,36,8,135,9.642857142857142,160,0.2346570397111913,0.1552346570397112,0.1299638989169675,0.0433212996389891,13.0,0,1,5.857,2.0,0.5130718954248366,0.8514708195413861,0.920784056186676,276.0,121.35281457759667,0.0,0.0,121.35281457759667,13.4,14.5,14.1,4.11114865393165,0.5130718954248366,0.155,0.063,0.782
"Primary and secondary education provide a basic knowledge and skills to the people in this world. I completely agree that government should provide those education to their people; however, for the more higher education like university, the students or their parents should pay for the fees. Some parents might not have enough money to pay for their children university fees. In the other hand, I don't think it is also fair for the government as the government has been paying a lot of money for their students' primary and secondary education. It is better for them to use the money to pay for the other students' education so that all people in their country could receive the same education. Moreover, students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not afford to pay it. They will be more responsible with their studies when they pay the fees themselves. In addition to that, the students will become more independent and it will build their characters in the marketplace as well. Furthermore, this will encourage all the parents to think of the way to help their children to achieve more in their lives as they need to make some contribution too for their children future. In conclusion, I completely agree that government should not pay for the university fees because this will make both the parents and students in charge for their future themselves not just depend on the government to do all their responsibilities for them.",0,262,10,26.2,14,42,14,165,16.5,123,0.232824427480916,0.148854961832061,0.0687022900763358,0.0572519083969465,7.0,2,2,5.6,5.0,0.4134275618374558,0.8563589632511139,0.9586798548698425,263.0,125.06147440926286,0.0,0.0,125.06147440926286,12.3,14.5,10.68,3.223873926041558,0.4134275618374558,0.1,0.036,0.865
"Everyday, companies offer a huge number of different products to consumers. The most effective way to convince consumers to purchase a product is through advertising. However, it is not sufficient in itself. The product also should satisfy the needs of the consumers. In my opinion, advertising is the major reason for high sales of a product for several reasons. We are mainly introduced to products through advertisements. Therefore, advertisers push the limits of creativity to dispose the consumers to purchase the product. When the consumers are impressed by the way a product is advertised, they can be convinced to consider that the product is a need in some cases. Recently, there is a very creative advirtesement of a soft drink product on TV. The story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot. As a result of this, the number of that product being sold will increases. Also, the more an advertisement of a product takes place in mass media, the more popular the product becomes. Advertisement is the most effective way to create a well-known product. Consumers tend to purchase the most known product when it comes to picking one out of two different brands of the same product. When a product is commonly used, it becomes trustworthy for the society, no matter what quality it is.. However it also has to be affordable for the consumer. Considering this fact, advertisements have undeniable affects on the society about the product being advertised. They make the product preferable. In conclusion, as I believe that consumers should consider major needs when they purchase goods, high sales are obviously a reflection of the powerful advertisements. It is kinda short essay, giving only two arguments. I would like to hear your comments about both its content and structure.",0,307,21,14.61904761904762,14,27,5,169,8.047619047619047,169,0.254071661237785,0.1335504885993485,0.0814332247557003,0.0456026058631921,16.0,1,2,4.857,6.0,0.47230320699708456,0.8560251962570917,0.912433922290802,305.0,129.66568861307601,0.0,0.0,129.66568861307601,9.0,9.6,10.55,3.6092918399742673,0.47230320699708456,0.147,0.015,0.837
"Nowadays, more and more people begin to select prepared food as their daily meals, since it can effectively save time which is considered as money in our modern society. However it is obvious that cooked food can bring about some negative influence result from utilizing the artificial ingredients, ignoring the nutrition of food and modifying people's eating habits. In this essay, I would like to explain why this is not a good thing based on the three reasons above. First of all, to make their food easier to prepare and taste delicious, almost every producer adds a wide range of artificial ingredients in to the food that is now purchased by most people. Some ingredients being added have caused dire consequences. For instance, there are usually some articles in newspapers and magazines which report the relationship between certain chemical components in some food and diseases. Thus, easy-to-cook foods sometimes could be dangerous for human's health. Not cooking fresh food will also lead to the lack of nutrition. It is truth that cooking prepared foods needs much less time in comparison with the fresh food., whereas some research has apparently demonstrated that prepared foods are unable to support enough nutrients we need, especially for children who are growing up . In addition, cooking is one of arts humans create. The more cooked food we chosen, the more cooking skills we lose. At the increasing living pace, the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes. But rare people have been aware that this has contributed to a modification of cooking habits, which may cause the loss of our custom and culture about cooking. In conclusion, although the invention of prepared foods definitely satisfies the demand of some people who are busy in their work, it is not a good thing. Cooking is not a waste of time, contrarily, it is crucial for our health and culture.",0,327,15,21.8,29,42,8,171,11.4,203,0.2568807339449541,0.1437308868501529,0.1039755351681957,0.0397553516819571,9.0,1,2,6.2,4.0,0.5401662049861495,0.8452257355054219,0.9058727025985718,328.0,139.9393618057151,1.0,-0.07357153135938692,139.8657902743557,10.1,12.3,10.97,4.325307527658716,0.5401662049861495,0.105,0.069,0.826
"It is no secret that advertising become inseparable part of our modern life. We come across with ads almost everywhere and everyday. Some people argue that companies by advertising their goods or services spend their money for nothing. Other critics say that ads have no purpose, they only cause damages to society and all forms of advertising should be banned. On my part I would like to solve this issue on a different way. Society does need an advertising but it is our responsibility to control the content and what kind of goods and services we would like to offer to our customers. First of all, I do support the idea that advertising alcohol, cigarettes, goods and services with adult content should be prohibited. Because these kind of ads will have negative effect to our children. Youngsters might be tempted to buy cigarettes or alcohol and later to start consume it on a daily basis. Fortunately, some countries take this issue seriously and advertising alcohol, cigarettes and materials with adult content is banned on those countries. On the other hand by advertising companies, businesses, firms and individuals promote their goods and services. Thanks to ads we learn about new products, we can compare them and choose whats it the best for us. These days, not only many businesses, but also governments have to rely on advertising. For example, tourism makes up one-third of the Czech Republic's economy. In order to promote the country's attractions, the Czech government has to advertise and sell its services to foreign consumers. Only well planned and well targeted advertising will bring more foreign tourists to the country. In conclusion, I think that modern society needs advertising. Ads will keep as well informed about new products and services, but we should also bear in mind that advertising cigarettes and alcohol will definitely affect our children in negative way.",0,312,18,17.333333333333332,9,31,9,169,9.38888888888889,184,0.2916666666666667,0.1666666666666666,0.0641025641025641,0.0576923076923076,11.0,0,1,4.889,6.0,0.5043227665706052,0.8393122686280144,0.893693208694458,313.0,133.8233581289894,2.0,-0.05989125736912251,133.7634668716203,10.0,11.2,11.25,3.9967630245571693,0.5043227665706052,0.133,0.07,0.796
