,para_count,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,modal verb,most_freq,number_of_repeatation,max_occurance_of_most_frequent_phrase,avg sentence complexity,lexical diversity,sentence similarity mean,sentence similarity median,sentence similarity mode,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,Automated Readability,coleman_liau,cohesion score,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment,discourse_marker,label
para_count,1.0,0.4443312673702863,0.4957083623220937,-0.17825630019993116,-0.27555844984499955,-0.00599067353912692,-0.1897233706498033,0.24176996229772116,-0.271947014338355,0.39735797481976415,0.1479917461792173,-0.07894004777522858,0.1444410650977115,-0.05565486553715404,-0.039647757996370124,0.19936028446035176,0.01715178656843574,0.0056769673704090435,-0.18293039760880445,-0.16990527270960706,-0.16137184022352077,-0.2151720573410514,-0.30242187726632386,0.4282114948771049,0.37642272319374276,0.12900358587876448,-0.11019320732971297,0.37575390251942137,0.12329445086301047,0.1974031922933172,0.27506530889278913,0.18396677214662627,-0.16990527270960706,0.10922373090852447,-0.15962626189376797,0.026324921148994353,0.3392895454466914,
word_count,0.4443312673702863,1.0,0.7721872221937827,0.1219175259042977,-0.0018133058201972117,0.1431777322668737,0.03355103148499707,0.8026687145297625,-0.012845168570787154,0.8805564766953368,0.005146697421628265,-0.08682359298721866,0.1520334593408762,-0.08347879709589007,0.14287621641550524,0.29362250437158405,0.03747123895851466,0.14132258309009135,0.09472292403022675,-0.16208433976144934,0.278028166135256,0.002900067911508278,-0.030360164907173724,0.9964797943252506,0.9358587750100361,0.049671868002451124,-0.06764819418200352,0.9353324316495121,0.32890192194200285,0.3760469397406569,0.33694193433098674,0.5200284417314313,-0.16208433976144934,0.008797078830093947,-0.03804905365397199,0.022998745247009723,0.6873137275165869,
sentence_count,0.4957083623220937,0.7721872221937827,1.0,-0.52679329237121,-0.30489759681634826,-0.2415550541174152,-0.30905481519627553,0.5245108884019123,-0.531461721926055,0.7773696138246688,0.1711113656387264,-0.11824748689402255,0.13112845127061068,-0.12039933734669456,-0.042848458837194695,0.3140250212480864,-0.10452737603126576,-0.012393882792922074,-0.3475392551393235,0.0019486862245024841,-0.018066042053855126,-0.4103334143497728,-0.2786508959364492,0.7624934036665595,0.6796029237396788,0.14439199305398456,-0.10676693641530836,0.6789031826335217,0.10546939066105127,0.11204626182749668,0.4107875389565585,0.46177559735773177,0.0019486862245024841,0.05857947058490998,-0.02408915445348939,-0.037766427556549444,0.6055971949334802,
sentence_len(mean),-0.17825630019993116,0.1219175259042977,-0.52679329237121,1.0,0.487394695786894,0.5719891363505635,0.5255925847890931,0.24659072825662062,0.8296004224309098,-0.047146196323593105,-0.237864159679049,0.051069260079376226,-0.031118762191318646,0.0725171547268205,0.24085838296603732,-0.08508312017367084,0.20407872921819928,0.1887910496261469,0.6723294184651472,-0.23323959405773578,0.3902905234094441,0.6572843811571663,0.38237745703939424,0.1311358154220632,0.17609421627710903,-0.15041502528375977,0.07871929585926915,0.17649891866109144,0.27293260596667196,0.33443015866851417,-0.19398632164633292,-0.05782170776730752,-0.23323959405773578,-0.09435862404977352,-0.0365403614098896,0.12319242250351017,-0.0077103390440491585,
sentence_len(mode),-0.27555844984499955,-0.0018133058201972117,-0.30489759681634826,0.487394695786894,1.0,0.12411602471576771,0.26147908699317535,0.103854063640372,0.4465646905916221,-0.08564660379793927,-0.17863200739422652,0.08614571113200128,-0.08716394948543085,0.15373283156244882,0.16149633042828793,0.02086577297962723,0.13636757702129315,0.11831298153387773,0.25405711727512253,-0.07955525788911995,0.4107665568313025,0.3823114916596226,0.3786820311281065,0.0027494145150663532,0.042611930992633155,0.01156351723114447,-0.03315890024487905,0.04242227721537931,0.10409478693590679,0.07767868988301378,-0.15775221563297542,-0.060406725492071524,-0.07955525788911995,-0.10199628031044532,0.08832293981984808,0.0269710029706166,-0.05042837708591346,
sentence_len(max),-0.00599067353912692,0.1431777322668737,-0.2415550541174152,0.5719891363505635,0.12411602471576771,1.0,0.16079574203500974,0.27742724955908465,0.5338060190068596,0.04787806848743282,-0.21191080058872847,-0.17085934137268718,0.02507809864396585,0.1357781593899842,0.0386284875793267,-0.058483812270320415,0.08310396090266312,0.059426043781142406,0.4074285669189912,-0.12224377253071886,0.15018348340227056,0.3035101478636114,0.10777539333184581,0.15279549625924566,0.1546377813433588,-0.11226633707303481,0.0832646642771995,0.15507104579381364,0.0197056647818545,0.10410902268048183,-0.2138052024809709,0.035973264174184026,-0.12224377253071886,-0.1523624779885999,-0.07686310919207552,0.21223442002487478,0.0808265409352409,
sentence_len(min),-0.1897233706498033,0.03355103148499707,-0.30905481519627553,0.5255925847890931,0.26147908699317535,0.16079574203500974,1.0,0.00662812564726859,0.34618894751561935,-0.032240203484822275,0.023334641385496558,0.032776524473154094,0.11695486760996653,-0.16103642635246507,0.1591775470425662,0.027467312917854474,0.17162262241899898,0.11426178810902494,0.37485139292896635,-0.07164478609413802,0.41440889326461033,0.318092976266486,0.5345541775277239,0.03947792387205676,0.0205460844416052,0.0005979445103443863,-0.05125502855486715,0.02026037251897459,0.22207029050097213,0.23577155430467567,-0.008090494711374534,-0.007694330722260404,-0.07164478609413802,-0.0032236008175761687,-0.09362718636209316,0.08129077585942006,-0.032271947876957634,
stop_words,0.24176996229772116,0.8026687145297625,0.5245108884019123,0.24659072825662062,0.103854063640372,0.27742724955908465,0.00662812564726859,1.0,0.4264501216182186,0.6252756320648706,-0.3052360967020954,-0.1219370071369475,-0.1360329873470319,0.26464653902128066,0.3127010322991802,0.18095235257725525,0.023204464610625156,0.12294578058584367,0.16195620916229092,-0.24190257874099505,0.35486745444967743,0.21157351074455577,-0.012240927708125512,0.799891315267131,0.863162795964033,0.02813685498127193,-0.035227023769906225,0.8628269835798845,0.025609136995937004,0.012519321424050777,-0.11249795540073747,0.2902661370809308,-0.24190257874099505,-0.10055449472254313,0.025606872464394165,0.07631834779580843,0.5428344407563366,
sw_rates,-0.271947014338355,-0.012845168570787154,-0.531461721926055,0.8296004224309098,0.4465646905916221,0.5338060190068596,0.34618894751561935,0.4264501216182186,1.0,-0.19766007574635822,-0.46097192713869245,0.002560032417897116,-0.2944197349450123,0.36957734212451154,0.3421848622610242,-0.13652550296097574,0.12749345592472652,0.12091180694689024,0.5415107985922767,-0.25898705946935496,0.37406787151941323,0.6580228340512552,0.288831600705133,-0.005860734942553582,0.13540925032101692,-0.12930503637031235,0.08256335116052908,0.13584180967312184,-0.05536257189436844,-0.06882659384408166,-0.5233264988727447,-0.21728040007527805,-0.25898705946935496,-0.17247651818933843,0.020596943530047485,0.15118903836304812,-0.07401658592287194,
unique_words,0.39735797481976415,0.8805564766953368,0.7773696138246688,-0.047146196323593105,-0.08564660379793927,0.04787806848743282,-0.032240203484822275,0.6252756320648706,-0.19766007574635822,1.0,0.09800871447129918,-0.06570933338321182,0.17797268396988924,-0.14852499163897262,0.09680923958411625,0.16110748044365888,-0.190870415468307,-0.07854680424282401,-0.00713573325644751,0.28589671177317866,0.13967335494054356,-0.20072488787764284,-0.0690877694939228,0.8785536831653067,0.7755329523426413,0.042695777044793194,-0.04664888541258917,0.7751486150576469,0.2985239352201016,0.3565301170926435,0.4058974918258081,0.7724921204603046,0.28589671177317866,-0.0651103488059224,0.030365917461036066,0.037714181149469735,0.5974348716253212,
